year,country,temperature(Celsius),suicide_per_100k
1994,Russian Federation,-6.100014166666668,44.35419227275161
1995,Russian Federation,-4.285302499999999,43.5324339928002
1996,Russian Federation,-5.843589166666667,41.293836691495706
1997,Russian Federation,-5.429805833333333,39.305530028029196
1998,Russian Federation,-6.491144166666667,37.0307808752168
1999,Russian Federation,-5.984445833333332,41.0718739772401
2000,Russian Federation,-5.672964999999999,40.967197480538005
2001,Russian Federation,-5.633684999999999,41.4175210948274
2002,Russian Federation,-5.254298333333334,40.283796358322604
2003,Russian Federation,-4.959395833333335,37.545649949100785
2004,Russian Federation,-5.7177491666666675,35.81775111724561
2005,Russian Federation,-4.634284166666666,33.63782534903539
2006,Russian Federation,-5.897105833333334,31.482564293352407
2007,Russian Federation,-4.119611666666668,30.5307288161081
2008,Russian Federation,-4.5035099999999995,28.433776212719994
2009,Russian Federation,-5.769573333333333,27.89863086767969
2010,Russian Federation,-5.6358675,24.7327000246548
2011,Russian Federation,-4.433815833333333,23.034471541592406
2012,Russian Federation,-4.989896666666666,22.0118254509395
2013,Russian Federation,-4.806088333333334,21.296975884355607
2014,Russian Federation,-4.8558441666666665,19.7017440553044
2015,Russian Federation,-4.1686983333333325,18.560937227489802
1985,France,10.050288333333334,24.3292476441441
1986,France,10.318173333333332,24.2633274977923
1987,France,10.305304999999999,23.431238054134003
1988,France,11.183238333333334,22.238369863644007
1989,France,11.724139166666667,22.3492356618636
1990,France,11.765655,21.53423136409901
1991,France,10.754585,21.5866628880936
1992,France,11.105659166666667,21.714846248668895
1993,France,10.771772500000003,22.709999369733108
1994,France,11.977424166666667,22.196578250265897
1995,France,11.586616666666666,21.6749039493109
1996,France,10.5934775,20.585272195008
1997,France,11.849255833333332,20.235986592909505
1998,France,11.312666666666667,19.055475057298505
1999,France,11.720350000000002,18.6543732869084
2000,France,11.888568333333334,19.629937411458105
2001,France,11.417185833333333,18.8232040512421
2002,France,11.867035,19.0272667006904
2003,France,11.8987675,19.288364905559003
2004,France,11.3837125,19.016465717681
2005,France,11.350787500000001,18.741902104850503
2006,France,11.915509166666668,18.0252480408503
2007,France,11.643284166666666,17.410212121781502
2008,France,11.337159166666668,17.702590225971303
2009,France,11.695545000000001,17.864335760216104
2010,France,10.625238333333334,17.574759996324193
2011,France,12.323240833333335,17.538230030299406
2012,France,11.5415175,16.3367741053394
2013,France,11.084975,16.0240175987779
2014,France,12.500744166666665,14.7339020133966
1985,Thailand,26.06735,6.44012584550138
1986,Thailand,26.025825,5.911500943399909
1987,Thailand,26.471441666666667,6.273718946899948
1990,Thailand,26.46139166666667,7.3259761506975
